time	imag(VinPA[1])
0.00000000000000000E0	3.23598839001416749E-1
5.00000000000000000E-10	3.22825864052132827E-1
1.00000000000000000E-9	3.22825864052132827E-1
1.50000000000000000E-9	3.22825864052132872E-1
2.00000000000000000E-9	3.22825864052132827E-1
2.50000000000000000E-9	3.22825864052132872E-1
3.00000000000000000E-9	3.22825864052132827E-1
3.50000000000000044E-9	3.22825864052132872E-1
4.00000000000000000E-9	3.22825864052132827E-1
4.50000000000000089E-9	3.22837638309917585E-1
5.00000000000000000E-9	3.22969138641131437E-1
5.49999999999999911E-9	3.23197524342927656E-1
6.00000000000000000E-9	3.23482090635360731E-1
6.50000000000000000E-9	3.23770201743891750E-1
7.00000000000000089E-9	3.24006066414449467E-1
7.50000000000000000E-9	3.24141151953390683E-1
8.00000000000000000E-9	3.24144602231134105E-1
8.50000000000000178E-9	3.24011816094208749E-1
9.00000000000000178E-9	3.23769414625641305E-1
9.50000000000000178E-9	3.23469312267304909E-1
1.00000000000000000E-8	3.23140716971792763E-1
1.05000000000000027E-8	3.22892168942976010E-1
1.09999999999999987E-8	3.22839040270179112E-1
1.14999999999999991E-8	3.23081906629118087E-1
1.19999999999999996E-8	3.23683552091344140E-1
1.25000000000000022E-8	3.24648281014066953E-1
1.30000000000000004E-8	3.25907395824520218E-1
1.35000000000000009E-8	3.27314304566028236E-1
1.40000000000000013E-8	3.28651735852774518E-1
1.44999999999999996E-8	3.29663811655073768E-1
1.50000000000000000E-8	3.30172953171082240E-1
1.55000000000000004E-8	3.29894758862377557E-1
1.60000000000000009E-8	3.28597439844224848E-1
1.65000000000000013E-8	3.26152836497212872E-1
1.70000000000000040E-8	3.22582058999418830E-1
1.75000000000000022E-8	3.18087902536642630E-1
1.80000000000000027E-8	3.13066847492886824E-1
1.85000000000000031E-8	3.08095232290732612E-1
1.90000000000000036E-8	3.03886969880156022E-1
1.95000000000000040E-8	3.01206041746147246E-1
2.00000000000000000E-8	3.00647251403894966E-1
2.05000000000000027E-8	3.02869733251754081E-1
2.10000000000000053E-8	3.08317872099025170E-1
2.14999999999999947E-8	3.17113470990807000E-1
2.19999999999999973E-8	3.28968328035267543E-1
2.25000000000000044E-8	3.43131640703859819E-1
2.29999999999999982E-8	3.58384265124806323E-1
2.34999999999999964E-8	3.73087618775458107E-1
2.39999999999999991E-8	3.85289267978760996E-1
2.45000000000000018E-8	3.92886445681030683E-1
2.50000000000000044E-8	3.93866415642561396E-1
2.54999999999999982E-8	3.86413959645444072E-1
2.60000000000000009E-8	3.69189188976184735E-1
2.65000000000000036E-8	3.41527310236803094E-1
2.70000000000000018E-8	3.03590587027266245E-1
2.74999999999999956E-8	2.56450410040837706E-1
2.80000000000000027E-8	2.02083176204002424E-1
2.85000000000000053E-8	1.43271898142045728E-1
2.89999999999999991E-8	8.34153391926171395E-2
2.95000000000000107E-8	2.62628445708687996E-2
3.00000000000000000E-8	-2.43725064662856106E-2
3.05000000000000071E-8	-6.50840938896930954E-2
3.10000000000000009E-8	-9.31640346459965940E-2
3.15000000000000036E-8	-1.06903724213827944E-1
3.20000000000000018E-8	-1.05812878842386571E-1
3.25000000000000000E-8	-9.07292902860912420E-2
3.30000000000000027E-8	-6.38016965324043106E-2
3.35000000000000009E-8	-2.83408305513695691E-2
3.40000000000000080E-8	1.14524843392514986E-2
3.45000000000000018E-8	5.08657634072135600E-2
