time	real(VinPA[1])
0.00000000000000000E0	3.23598839001416749E-1
5.00000000000000000E-10	3.22825864052132827E-1
1.00000000000000000E-9	3.22825864052132827E-1
1.50000000000000000E-9	3.22825864052132872E-1
2.00000000000000000E-9	3.22825864052132827E-1
2.50000000000000000E-9	3.22825864052132872E-1
3.00000000000000000E-9	3.22825864052132827E-1
3.50000000000000044E-9	3.22825864052132872E-1
4.00000000000000000E-9	3.22825864052132827E-1
4.50000000000000089E-9	3.22843525438809964E-1
5.00000000000000000E-9	3.23040775935630808E-1
5.49999999999999911E-9	3.23383354488325070E-1
6.00000000000000000E-9	3.23810203926974527E-1
6.50000000000000000E-9	3.24242370589771234E-1
7.00000000000000089E-9	3.24596167595607676E-1
7.50000000000000000E-9	3.24798795904019766E-1
8.00000000000000000E-9	3.24803971320634810E-1
8.50000000000000178E-9	3.24604792115246710E-1
9.00000000000000178E-9	3.24241189912395411E-1
9.50000000000000178E-9	3.23782205681508817E-1
1.00000000000000000E-8	3.23190687489873607E-1
1.05000000000000027E-8	3.22646576170301502E-1
1.09999999999999987E-8	3.22353458441781537E-1
1.14999999999999991E-8	3.22501674648791603E-1
1.19999999999999996E-8	3.23227244339212394E-1
1.25000000000000022E-8	3.24573023569090591E-1
1.30000000000000004E-8	3.26459108076450111E-1
1.35000000000000009E-8	3.28669060791419065E-1
1.40000000000000013E-8	3.30857008822964183E-1
1.44999999999999996E-8	3.32595783948474155E-1
1.50000000000000000E-8	3.33556630069937476E-1
1.55000000000000004E-8	3.33240104990319352E-1
1.60000000000000009E-8	3.31227260608025631E-1
1.65000000000000013E-8	3.27270164152604304E-1
1.70000000000000040E-8	3.21374314557784713E-1
1.75000000000000022E-8	3.13858876094475114E-1
1.80000000000000027E-8	3.05381663566841377E-1
1.85000000000000031E-8	2.96918854008832422E-1
1.90000000000000036E-8	2.89694287478620760E-1
1.95000000000000040E-8	2.85041830523677886E-1
2.00000000000000000E-8	2.84117606293752445E-1
2.05000000000000027E-8	2.88052936541483184E-1
2.10000000000000053E-8	2.97591550587121656E-1
2.14999999999999947E-8	3.12905472380398209E-1
2.19999999999999973E-8	3.33449796402206733E-1
2.25000000000000044E-8	3.57880909176016848E-1
2.29999999999999982E-8	3.84057997525893713E-1
2.34999999999999964E-8	4.09139866820684706E-1
2.39999999999999991E-8	4.29778848773546684E-1
2.45000000000000018E-8	4.42419625512988723E-1
2.50000000000000044E-8	4.43772760910431963E-1
2.54999999999999982E-8	4.30855197223607966E-1
2.60000000000000009E-8	4.01535446962436104E-1
2.65000000000000036E-8	3.54870490950737638E-1
2.70000000000000018E-8	2.91357750773984847E-1
2.74999999999999956E-8	2.13065166062442790E-1
2.80000000000000027E-8	1.23612595066388620E-1
2.85000000000000053E-8	2.79919452571333505E-2
2.89999999999999991E-8	-6.77697290654132445E-2
2.95000000000000107E-8	-1.57099888945181121E-1
3.00000000000000000E-8	-2.33575716712308790E-1
3.05000000000000071E-8	-2.91196933539948688E-1
3.10000000000000009E-8	-3.25152665924953732E-1
3.15000000000000036E-8	-3.32349181850987296E-1
3.20000000000000018E-8	-3.11804857829178417E-1
3.25000000000000000E-8	-2.64863307336057963E-1
3.30000000000000027E-8	-1.95191872555536960E-1
3.35000000000000009E-8	-1.08553456185374952E-1
3.40000000000000080E-8	-1.23628706953105039E-2
3.45000000000000018E-8	8.49556089689566640E-2
