time	imag(VoutPA[1])
0.00000000000000000E0	-3.15917355218217910E-1
5.00000000000000000E-10	-3.15585596643425736E-1
1.00000000000000000E-9	-3.15498434097657920E-1
1.50000000000000000E-9	-3.15501373383618011E-1
2.00000000000000000E-9	-3.15507618660852485E-1
2.50000000000000000E-9	-3.15509173298458467E-1
3.00000000000000000E-9	-3.15509194503619694E-1
3.50000000000000044E-9	-3.15509097088441326E-1
4.00000000000000000E-9	-3.15509067171990232E-1
4.50000000000000089E-9	-3.15516331943171968E-1
5.00000000000000000E-9	-3.15601750228055344E-1
5.49999999999999911E-9	-3.15762753030655707E-1
6.00000000000000000E-9	-3.15968585559387494E-1
6.50000000000000000E-9	-3.16179932228318128E-1
7.00000000000000089E-9	-3.16355905196096243E-1
7.50000000000000000E-9	-3.16460701852502568E-1
8.00000000000000000E-9	-3.16470908688398911E-1
8.50000000000000178E-9	-3.16381635099898695E-1
9.00000000000000178E-9	-3.16209935255166918E-1
9.50000000000000178E-9	-3.15988978490045858E-1
1.00000000000000000E-8	-3.15709226326455905E-1
1.05000000000000027E-8	-3.15448118054715643E-1
1.09999999999999987E-8	-3.15306249361021473E-1
1.14999999999999991E-8	-3.15376484047387340E-1
1.19999999999999996E-8	-3.15724232766164947E-1
1.25000000000000022E-8	-3.16369110936163311E-1
1.30000000000000004E-8	-3.17271048522733068E-1
1.35000000000000009E-8	-3.18325168301990757E-1
1.40000000000000013E-8	-3.19367660650189178E-1
1.44999999999999996E-8	-3.20199617215369825E-1
1.50000000000000000E-8	-3.20665310381001811E-1
1.55000000000000004E-8	-3.20550145713401902E-1
1.60000000000000009E-8	-3.19655900826702233E-1
1.65000000000000013E-8	-3.17850674330650795E-1
1.70000000000000040E-8	-3.15101946397752419E-1
1.75000000000000022E-8	-3.11511969514115128E-1
1.80000000000000027E-8	-3.07346411921806695E-1
1.85000000000000031E-8	-3.03053760875872857E-1
1.90000000000000036E-8	-2.99255727754386935E-1
1.95000000000000040E-8	-2.96693249768189604E-1
2.00000000000000000E-8	-2.96049025918051711E-1
2.05000000000000027E-8	-2.97935782747387634E-1
2.10000000000000053E-8	-3.02692587631789678E-1
2.14999999999999947E-8	-3.10217030124406312E-1
2.19999999999999973E-8	-3.19925967397337541E-1
2.25000000000000044E-8	-3.30838150891894989E-1
2.29999999999999982E-8	-3.41770299445881154E-1
2.34999999999999964E-8	-3.51538465970306957E-1
2.39999999999999991E-8	-3.59088593415849378E-1
2.45000000000000018E-8	-3.63525637734009210E-1
2.50000000000000044E-8	-3.64062951959903014E-1
2.54999999999999982E-8	-3.59760893555759331E-1
2.60000000000000009E-8	-3.49361526023307878E-1
2.65000000000000036E-8	-3.31024374849392800E-1
2.70000000000000018E-8	-3.02018600730262099E-1
2.74999999999999956E-8	-2.58440434080799308E-1
2.80000000000000027E-8	-1.95319861539670092E-1
2.85000000000000053E-8	-1.08461158546452796E-1
2.89999999999999991E-8	-1.54828438167898819E-3
2.95000000000000107E-8	1.05126076076078956E-1
3.00000000000000000E-8	1.87766443778362646E-1
3.05000000000000071E-8	2.39491283785528708E-1
3.10000000000000009E-8	2.66216246951492241E-1
3.15000000000000036E-8	2.74306410001420131E-1
3.20000000000000018E-8	2.66348446682958606E-1
3.25000000000000000E-8	2.41665444514722250E-1
3.30000000000000027E-8	1.97118911067931779E-1
3.35000000000000009E-8	1.27945250775336450E-1
3.40000000000000080E-8	3.17617195385291851E-2
3.45000000000000018E-8	-7.92519565054020436E-2
3.50000000000000044E-8	-1.75486832818767136E-1
3.54999999999999893E-8	-2.38023680567339513E-1
3.60000000000000053E-8	-2.69991932701159687E-1
3.64999999999999991E-8	-2.80051419513577926E-1
3.70000000000000062E-8	-2.72467816355531856E-1
3.75000000000000000E-8	-2.46921062114447887E-1
3.80000000000000071E-8	-1.99898617488828290E-1
3.85000000000000009E-8	-1.25865391281598926E-1
3.90000000000000080E-8	-2.21286177224764291E-2
3.95000000000000062E-8	9.68219536413982063E-2
4.00000000000000000E-8	1.98838978122337751E-1
4.05000000000000071E-8	2.65795422371685008E-1
4.10000000000000053E-8	3.02228452314062324E-1
4.15000000000000036E-8	3.17585121753422239E-1
4.20000000000000107E-8	3.16799549238432343E-1
4.25000000000000089E-8	3.00394347491516545E-1
4.29999999999999893E-8	2.65664967371972960E-1
4.35000000000000053E-8	2.07135376789300407E-1
4.39999999999999947E-8	1.17971089632325388E-1
4.44999999999999929E-8	-1.85160055364322362E-3
4.50000000000000089E-8	-1.28169221420475732E-1
4.55000000000000160E-8	-2.24434856218960643E-1
4.59999999999999964E-8	-2.80372808802116902E-1
4.65000000000000036E-8	-3.06831055537193143E-1
4.69999999999999929E-8	-3.13689957587146395E-1
4.75000000000000089E-8	-3.04667291717270672E-1
4.79999999999999982E-8	-2.79556626570898104E-1
4.84999999999999964E-8	-2.36172145572436154E-1
4.90000000000000036E-8	-1.72674477501925350E-1
4.94999999999999929E-8	-9.19623765883560651E-2
5.00000000000000089E-8	-4.72847265545102147E-3
5.04999999999999982E-8	7.37932422206147898E-2
5.09999999999999964E-8	1.32884234851331051E-1
5.15000000000000036E-8	1.70107347389649477E-1
5.20000000000000018E-8	1.87036540046932243E-1
5.25000000000000178E-8	1.84837245732238964E-1
5.30000000000000071E-8	1.62534634855389903E-1
5.35000000000000053E-8	1.16848582138186519E-1
5.40000000000000036E-8	4.43161746937072465E-2
5.45000000000000018E-8	-4.86214832366700467E-2
5.49999999999999911E-8	-1.34652548046906517E-1
5.54999999999999893E-8	-1.88715337756666157E-1
5.60000000000000053E-8	-2.10476479266306260E-1
5.65000000000000036E-8	-2.09065134388034402E-1
5.70000000000000107E-8	-1.89326176266139234E-1
5.75000000000000000E-8	-1.51366738948746060E-1
5.79999999999999982E-8	-9.34527330743105544E-2
5.85000000000000053E-8	-1.56298711421955372E-2
5.90000000000000213E-8	7.50331712911970339E-2
5.95000000000000107E-8	1.64011904015114363E-1
6.00000000000000000E-8	2.36866847833908079E-1
6.05000000000000071E-8	2.86554997271644396E-1
6.10000000000000142E-8	3.14644606276673500E-1
6.15000000000000124E-8	3.24971391901424100E-1
6.20000000000000018E-8	3.19322166469881363E-1
6.25000000000000089E-8	2.96666471571782386E-1
6.30000000000000071E-8	2.53146133579282751E-1
6.34999999999999964E-8	1.82204869420392379E-1
6.40000000000000036E-8	7.69221948843986425E-2
6.44999999999999929E-8	-5.56169626446786758E-2
6.50000000000000000E-8	-1.77377653002939728E-1
6.55000000000000071E-8	-2.57439157252774153E-1
6.60000000000000053E-8	-2.99414184484850221E-1
6.65000000000000036E-8	-3.16742421368883864E-1
