time	real(VoutPA[1])
0.00000000000000000E0	8.38827862413751468E-2
5.00000000000000000E-10	8.36998173751813823E-2
1.00000000000000000E-9	8.37913961391129014E-2
1.50000000000000000E-9	8.38258610374928459E-2
2.00000000000000000E-9	8.38299570274898187E-2
2.50000000000000000E-9	8.38288593684874073E-2
3.00000000000000000E-9	8.38282864972720176E-2
3.50000000000000044E-9	8.38281941992891433E-2
4.00000000000000000E-9	8.38282042106940750E-2
4.50000000000000089E-9	8.38294351191181342E-2
5.00000000000000000E-9	8.38406851953175192E-2
5.49999999999999911E-9	8.38367040785612616E-2
6.00000000000000000E-9	8.38117239695639782E-2
6.50000000000000000E-9	8.37697702079239193E-2
7.00000000000000089E-9	8.37186210619338489E-2
7.50000000000000000E-9	8.36678673205036816E-2
8.00000000000000000E-9	8.36286214715256193E-2
8.50000000000000178E-9	8.36059789208888304E-2
9.00000000000000178E-9	8.36083360148872679E-2
9.50000000000000178E-9	8.36374314337274427E-2
1.00000000000000000E-8	8.37070353633452235E-2
1.05000000000000027E-8	8.38287939558234285E-2
1.09999999999999987E-8	8.39818159569005651E-2
1.14999999999999991E-8	8.41301291762705183E-2
1.19999999999999996E-8	8.42336400386245998E-2
1.25000000000000022E-8	8.42559239874561960E-2
1.30000000000000004E-8	8.41721036010522994E-2
1.35000000000000009E-8	8.39761180348680014E-2
1.40000000000000013E-8	8.36856029937460377E-2
1.44999999999999996E-8	8.33440337640778672E-2
1.50000000000000000E-8	8.30230647709684355E-2
1.55000000000000004E-8	8.27751136592790537E-2
1.60000000000000009E-8	8.26745373757735003E-2
1.65000000000000013E-8	8.27954553756547895E-2
1.70000000000000040E-8	8.31944926297225429E-2
1.75000000000000022E-8	8.38943801330908556E-2
1.80000000000000027E-8	8.48798783608034846E-2
1.85000000000000031E-8	8.60883780928768871E-2
1.90000000000000036E-8	8.74063614547138279E-2
1.95000000000000040E-8	8.86654719191025720E-2
2.00000000000000000E-8	8.96158066923475261E-2
2.05000000000000027E-8	9.00479633857989370E-2
2.10000000000000053E-8	8.97450100441758103E-2
2.14999999999999947E-8	8.85355007924790272E-2
2.19999999999999973E-8	8.63622090808724252E-2
2.25000000000000044E-8	8.33338100217000566E-2
2.29999999999999982E-8	7.97328840998955890E-2
2.34999999999999964E-8	7.59652714069620494E-2
2.39999999999999991E-8	7.24805289422053178E-2
2.45000000000000018E-8	6.96946756966852909E-2
2.50000000000000044E-8	6.79350487223915422E-2
2.54999999999999982E-8	6.74634131185879049E-2
2.60000000000000009E-8	6.85063026079934900E-2
2.65000000000000036E-8	7.12044675084374923E-2
2.70000000000000018E-8	7.54616124079385564E-2
2.74999999999999956E-8	8.05627403298437272E-2
2.80000000000000027E-8	8.43096098350899048E-2
2.85000000000000053E-8	8.19158640901254742E-2
2.89999999999999991E-8	6.91268042665448235E-2
2.95000000000000107E-8	5.37944774457399522E-2
3.00000000000000000E-8	4.78826428651786884E-2
3.05000000000000071E-8	4.90948166015171594E-2
3.10000000000000009E-8	5.10466932987588073E-2
3.15000000000000036E-8	5.15219885686501833E-2
3.20000000000000018E-8	5.07558936547754946E-2
3.25000000000000000E-8	4.94882812465297661E-2
3.30000000000000027E-8	4.88921196134629721E-2
3.35000000000000009E-8	5.10386905452976070E-2
3.40000000000000080E-8	5.67423252510638410E-2
3.45000000000000018E-8	5.70484532062263838E-2
3.50000000000000044E-8	3.99449737934447224E-2
3.54999999999999893E-8	1.20077074700021247E-2
3.60000000000000053E-8	-1.47211084533030423E-2
3.64999999999999991E-8	-3.68194498123365044E-2
3.70000000000000062E-8	-5.62561272288062320E-2
3.75000000000000000E-8	-7.60016261560367390E-2
3.80000000000000071E-8	-9.90592039531298951E-2
3.85000000000000009E-8	-1.27701811044985725E-1
3.90000000000000080E-8	-1.57680101862071709E-1
3.95000000000000062E-8	-1.71192399170059018E-1
4.00000000000000000E-8	-1.58132874902736908E-1
4.05000000000000071E-8	-1.32809942905894651E-1
4.10000000000000053E-8	-1.10147025294947865E-1
4.15000000000000036E-8	-9.38541284391586750E-2
4.20000000000000107E-8	-8.24571747745002703E-2
4.25000000000000089E-8	-7.38250069086200167E-2
4.29999999999999893E-8	-6.54923743054881591E-2
4.35000000000000053E-8	-5.31614507292226079E-2
4.39999999999999947E-8	-2.86145335266967837E-2
4.44999999999999929E-8	1.44177967516467564E-2
4.50000000000000089E-8	5.44115116770166107E-2
4.55000000000000160E-8	6.97238811300263706E-2
4.59999999999999964E-8	7.43625917986344032E-2
4.65000000000000036E-8	8.25828400672710572E-2
4.69999999999999929E-8	9.71863757716122123E-2
4.75000000000000089E-8	1.17168609289755565E-1
4.79999999999999982E-8	1.41455377155326723E-1
4.84999999999999964E-8	1.68686603027405901E-1
4.90000000000000036E-8	1.95709661981513738E-1
