VGS,VDS,DC_IDS_i_0____
-2,0,2.36133403970283e-09
-2,0.01,2.36134403970284e-09
-2,0.02,2.36135403970284e-09
-2,0.03,2.36136403970284e-09
-2,0.04,2.36137403970285e-09
-2,0.05,2.36138403970285e-09
-2,0.06,2.36139403970285e-09
-2,0.07,2.36140403970285e-09
-2,0.08,2.36141403970285e-09
-2,0.09,2.36142403970286e-09
-2,0.1,2.36143403970286e-09
-2,0.11,2.36144403970286e-09
-2,0.12,2.36145403970286e-09
-2,0.13,2.36146403970286e-09
-2,0.14,2.36147403970286e-09
-2,0.15,2.36148403970286e-09
-2,0.16,2.36149403970286e-09
-2,0.17,2.36150403970286e-09
-2,0.18,2.36151403970286e-09
-2,0.19,2.36152403970286e-09
-2,0.2,2.36153403970286e-09
-2,0.21,2.36154403970286e-09
-2,0.22,2.36155403970286e-09
-2,0.23,2.36156403970286e-09
-2,0.24,2.36157403970286e-09
-2,0.25,2.36158403970286e-09
-2,0.26,2.36159403970286e-09
-2,0.27,2.36160403970286e-09
-2,0.28,2.36161403970286e-09
-2,0.29,2.36162403970286e-09
-2,0.3,2.36163403970286e-09
-2,0.31,2.36164403970286e-09
-2,0.32,2.36165403970286e-09
-2,0.33,2.36166403970286e-09
-2,0.34,2.36167403970286e-09
-2,0.35,2.36168403970286e-09
-2,0.36,2.36169403970286e-09
-2,0.37,2.36170403970286e-09
-2,0.38,2.36171403970286e-09
-2,0.39,2.36172403970286e-09
-2,0.4,2.36173403970286e-09
-2,0.41,2.36174403970286e-09
-2,0.42,2.36175403970286e-09
-2,0.43,2.36176403970286e-09
-2,0.44,2.36177403970286e-09
-2,0.45,2.36178403970286e-09
-2,0.46,2.36179403970286e-09
-2,0.47,2.36180403970286e-09
-2,0.48,2.36181403970286e-09
-2,0.49,2.36182403970286e-09
-2,0.5,2.36183403970286e-09
-2,0.51,2.36184403970286e-09
-2,0.52,2.36185403970286e-09
-2,0.53,2.36186403970286e-09
-2,0.54,2.36187403970286e-09
-2,0.55,2.36188403970286e-09
-2,0.56,2.36189403970286e-09
-2,0.57,2.36190403970286e-09
-2,0.58,2.36191403970286e-09
-2,0.59,2.36192403970286e-09
-2,0.6,2.36193403970286e-09
-2,0.61,2.36194403970286e-09
-2,0.62,2.36195403970286e-09
-2,0.63,2.36196403970286e-09
-2,0.64,2.36197403970286e-09
-2,0.65,2.36198403970286e-09
-2,0.66,2.36199403970286e-09
-2,0.67,2.36200403970286e-09
-2,0.68,2.36201403970286e-09
-2,0.69,2.36202403970286e-09
-2,0.7,2.36203403970286e-09
-2,0.71,2.36204403970286e-09
-2,0.72,2.36205403970286e-09
-2,0.73,2.36206403970286e-09
-2,0.74,2.36207403970286e-09
-2,0.75,2.36208403970286e-09
-2,0.76,2.36209403970286e-09
-2,0.77,2.36210403970286e-09
-2,0.78,2.36211403970286e-09
-2,0.79,2.36212403970286e-09
-2,0.8,2.36213403970286e-09
-2,0.81,2.36214403970286e-09
-2,0.820000000000001,2.36215403970286e-09
-2,0.83,2.36216403970286e-09
-2,0.840000000000001,2.36217403970286e-09
-2,0.850000000000001,2.36218403970286e-09
-2,0.860000000000001,2.36219403970286e-09
-2,0.870000000000001,2.36220403970286e-09
-2,0.880000000000001,2.36221403970286e-09
-2,0.890000000000001,2.36222403970286e-09
-2,0.900000000000001,2.36223403970286e-09
-2,0.91,2.36224403970286e-09
-2,0.920000000000001,2.36225403970286e-09
-2,0.930000000000001,2.36226403970286e-09
-2,0.940000000000001,2.36227403970286e-09
-2,0.950000000000001,2.36228403970286e-09
-2,0.960000000000001,2.36229403970286e-09
-2,0.970000000000001,2.36230403970286e-09
-2,0.980000000000001,2.36231403970286e-09
-2,0.990000000000001,2.36232403970286e-09
