VGS,VDS,DC_IDS_i_0____
-2,0,2.36133403970283e-09
-2,0.1,2.36143403970286e-09
-2,0.2,2.36153403970286e-09
-2,0.3,2.36163403970286e-09
-2,0.4,2.36173403970286e-09
-2,0.5,2.36183403970286e-09
-2,0.6,2.36193403970286e-09
-2,0.7,2.36203403970286e-09
-2,0.8,2.36213403970286e-09
-2,0.9,2.36223403970286e-09
-2,1,2.36233403970286e-09
-2,1.1,2.36243403970286e-09
-2,1.2,2.36253403970286e-09
-2,1.3,2.36263403970286e-09
-2,1.4,2.36273403970286e-09
-2,1.5,2.36283403970286e-09
-2,1.6,2.36293403970286e-09
-2,1.7,2.36303403970286e-09
-2,1.8,2.36313403970286e-09
-2,1.9,2.36323403970286e-09
-2,2,2.36333403970286e-09
-2,2.1,2.36343403970286e-09
-2,2.2,2.36353403970286e-09
-2,2.3,2.36363403970286e-09
-2,2.4,2.36373403970286e-09
-2,2.5,2.36383403970286e-09
-2,2.6,2.36393403970286e-09
-2,2.7,2.36403403970286e-09
-2,2.8,2.36413403970286e-09
-2,2.9,2.36423403970286e-09
-2,3,2.36433403970286e-09
-2,3.1,2.36443403970286e-09
-2,3.2,2.36453403970286e-09
-2,3.3,2.36463403970286e-09
-2,3.4,2.36473403970286e-09
-2,3.5,2.36483403970286e-09
-2,3.6,2.36493403970286e-09
-2,3.7,2.36503403970286e-09
-2,3.8,2.36513403970286e-09
-2,3.9,2.36523403970286e-09
-2,4,2.36533403970286e-09
-2,4.1,2.36543403970286e-09
-2,4.2,2.36553403970286e-09
-2,4.3,2.36563403970286e-09
-2,4.4,2.36573403970286e-09
-2,4.5,2.36583403970286e-09
-2,4.6,2.36593403970286e-09
-2,4.7,2.36603403970286e-09
-2,4.8,2.36613403970286e-09
-2,4.9,2.36623403970286e-09
-2,5,2.36633403970286e-09
-1.9,0,2.36133403970273e-09
-1.9,0.1,2.36143403970283e-09
-1.9,0.2,2.36153403970286e-09
-1.9,0.3,2.36163403970286e-09
-1.9,0.4,2.36173403970286e-09
-1.9,0.5,2.36183403970286e-09
-1.9,0.6,2.36193403970286e-09
-1.9,0.7,2.36203403970286e-09
-1.9,0.8,2.36213403970286e-09
-1.9,0.9,2.36223403970286e-09
-1.9,1,2.36233403970286e-09
-1.9,1.1,2.36243403970286e-09
-1.9,1.2,2.36253403970286e-09
-1.9,1.3,2.36263403970286e-09
-1.9,1.4,2.36273403970286e-09
-1.9,1.5,2.36283403970286e-09
-1.9,1.6,2.36293403970286e-09
-1.9,1.7,2.36303403970286e-09
-1.9,1.8,2.36313403970286e-09
-1.9,1.9,2.36323403970286e-09
-1.9,2,2.36333403970286e-09
-1.9,2.1,2.36343403970286e-09
-1.9,2.2,2.36353403970286e-09
-1.9,2.3,2.36363403970286e-09
-1.9,2.4,2.36373403970286e-09
-1.9,2.5,2.36383403970286e-09
-1.9,2.6,2.36393403970286e-09
-1.9,2.7,2.36403403970286e-09
-1.9,2.8,2.36413403970286e-09
